"filename", "language", "pip requirements", "Python", "TypeScript", "Ignore", "Docker", "TypeScript JSX", "SCSS", "CSS", "JSON", "HTML", "JSON with Comments", "Properties", "comment", "blank", "total"
"d:\pd22\only-frontend\src\pages\Auth\PasswordResetForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 2, 5, 93
"d:\pd22\only-frontend\src\pages\Auth\RegisterPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\pd22\only-frontend\src\pages\Auth\ResetPasswordPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\pd22\only-frontend\src\pages\FeedPage\FeedPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 13, 112
"d:\pd22\only-frontend\src\pages\FeedPage\FeedPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 8, 68
"d:\pd22\only-frontend\src\pages\MainPage\MainPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 25, 216
"d:\pd22\only-frontend\src\pages\MainPage\MainPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 8, 91
"d:\pd22\only-frontend\src\pages\NotFoundPage\NotFoundPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\pd22\only-frontend\src\pages\NotFoundPage\NotFoundPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\pd22\only-frontend\src\pages\Profile\Profile.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 51, 353
"d:\pd22\only-frontend\src\pages\Profile\Profile.scss", "SCSS", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 8, 74
"d:\pd22\only-frontend\src\pages\Profile\Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 353, 0, 0, 0, 0, 0, 0, 18, 39, 410
"d:\pd22\only-frontend\src\pages\ResetPasswordPage\ResetPasswordPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\pd22\only-frontend\src\routes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 1, 86
"d:\pd22\only-frontend\src\storage\ArticleStorage.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"d:\pd22\only-frontend\src\types\ArticleStorageType.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\pd22\only-frontend\src\types\ArticleType.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\pd22\only-frontend\src\types\RouteType.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\pd22\only-frontend\src\types\UserStorageType.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"d:\pd22\only-frontend\src\types\auth.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"d:\pd22\only-frontend\src\types\props\NavLinkProps.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\pd22\only-frontend\src\types\props\OnTrendArticleItemProps.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\pd22\only-frontend\src\types\props\SearchBarArticleProps.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\pd22\only-frontend\src\types\props\SearchBarProps.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\pd22\only-frontend\src\utils\api.ts", "TypeScript", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 37, 301
"d:\pd22\only-frontend\src\utils\favorites.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 70
"d:\pd22\only-frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\pd22\only-frontend\tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 3, 27
"d:\pd22\only-frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\pd22\only-frontend\tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 3, 25
"d:\pd22\only-frontend\vercel.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\pd22\only-frontend\vite.config.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 20
"d:\pd22\requirements.txt", "pip requirements", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"d:\pd22\test_migrations.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 55
"d:\pd22\test_password_reset.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 29
"d:\pd22\test_system.py", "Python", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29, 200
"Total", "-", 78, 2121, 618, 4, 12, 2619, 2223, 98, 2672, 13, 7, 9, 333, 1231, 12038
